Date,Gender,Ranking,Player,Country,Age,Points,Tournaments
07-12-2009,men,1,Roger Federer,SUI,28,"10,550",19
07-12-2009,men,2,Rafael Nadal,ESP,23,"9,205",19
07-12-2009,men,3,Novak Djokovic,SRB,22,"8,310",23
07-12-2009,men,4,Andy Murray,GBR,22,"7,030",19
07-12-2009,men,5,Juan Martin del Potro,ARG,21,"6,785",22
07-12-2009,men,6,Nikolay Davydenko,RUS,28,"4,930",26
07-12-2009,men,7,Andy Roddick,USA,27,"4,410",20
07-12-2009,men,8,Robin Soderling,SWE,25,"3,410",27
07-12-2009,men,9,Fernando Verdasco,ESP,26,"3,300",24
07-12-2009,men,10,Jo-Wilfried Tsonga,FRA,24,"2,875",26
07-12-2009,men,11,Fernando Gonzalez,CHI,29,"2,870",18
07-12-2009,men,12,Radek Stepanek,CZE,31,"2,625",23
07-12-2009,men,13,Gael Monfils,FRA,23,"2,610",24
07-12-2009,men,14,Marin Cilic,CRO,21,"2,430",23
07-12-2009,men,15,Gilles Simon,FRA,24,"2,275",27
07-12-2009,men,16,Tommy Robredo,ESP,27,"2,175",27
07-12-2009,men,17,David Ferrer,ESP,27,"1,870",26
07-12-2009,men,18,Tommy Haas,GER,31,"1,855",19
07-12-2009,men,19,Mikhail Youzhny,RUS,27,"1,690",31
07-12-2009,men,20,Tomas Berdych,CZE,24,"1,655",28
07-12-2009,men,21,Stan Wawrinka,SUI,24,"1,635",21
07-12-2009,men,22,Lleyton Hewitt,AUS,28,"1,600",21
07-12-2009,men,23,Juan Carlos Ferrero,ESP,29,"1,555",25
07-12-2009,men,24,Ivan Ljubicic,CRO,30,"1,405",27
07-12-2009,men,25,Sam Querrey,USA,22,"1,320",26
07-12-2009,men,26,Nicolas Almagro,ESP,24,"1,305",26
07-12-2009,men,27,Philipp Kohlschreiber,GER,26,"1,260",28
07-12-2009,men,28,Jurgen Melzer,AUT,28,"1,260",28
07-12-2009,men,29,Viktor Troicki,SRB,23,"1,175",30
07-12-2009,men,30,Juan Monaco,ARG,25,"1,170",27
07-12-2009,men,31,Albert Montanes,ESP,29,"1,140",28
07-12-2009,men,32,Jeremy Chardy,FRA,22,"1,102",31
07-12-2009,men,33,Paul-Henri Mathieu,FRA,27,"1,080",29
07-12-2009,men,34,John Isner,USA,24,"1,067",22
