ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
8,Vina del Mar,Movistar Open,09-02-2009,ATP250,Outdoor,Clay,The Final,3,Gonzalez F.,Acasuso J.,18,46,2600,1446,6,1,6,3,,,,,,,2,0,Completed
10,Costa Do Sauipe,Brasil Open,15-02-2009,ATP250,Outdoor,Clay,The Final,3,Robredo T.,Bellucci T.,19,84,2510,1008,6,3,3,6,6,4,,,,,2,1,Completed
13,Buenos Aires,Copa Telmex,22-02-2009,ATP250,Outdoor,Clay,The Final,3,Robredo T.,Monaco J.,17,67,2670,1135,7,5,2,6,7,6,,,,,2,1,Completed
16,Acapulco,Abierto Mexicano,01-03-2009,ATP500,Outdoor,Clay,The Final,3,Almagro N.,Monfils G.,21,10,2280,3340,6,4,6,4,,,,,,,2,0,Completed
21,Casablanca,Grand Prix Hassan II,12-04-2009,ATP250,Outdoor,Clay,The Final,3,Ferrero J.C.,Serra F.,115,47,740,1251,6,4,7,5,,,,,,,2,0,Completed
22,Houston,U.S. Men's Clay Court Championships,12-04-2009,ATP250,Outdoor,Clay,The Final,3,Hewitt L.,Odesnik W.,88,100,895,852,6,2,7,5,,,,,,,2,0,Completed
23,Monte Carlo,Monte Carlo Masters,19-04-2009,Masters 1000,Outdoor,Clay,The Final,3,Nadal R.,Djokovic N.,1,3,14470,9010,6,3,2,6,6,1,,,,,2,1,Completed
24,Barcelona,Open Banco Sabadell,26-04-2009,ATP500,Outdoor,Clay,The Final,3,Nadal R.,Ferrer D.,1,13,15390,2865,6,2,7,5,,,,,,,2,0,Completed
25,Rome,Internazionali BNL d'Italia,03-05-2009,Masters 1000,Outdoor,Clay,The Final,3,Nadal R.,Djokovic N.,1,3,14890,9160,7,6,6,2,,,,,,,2,0,Completed
26,Belgrade,Serbia Open,10-05-2009,ATP250,Outdoor,Clay,The Final,3,Djokovic N.,Kubot L.,3,179,9670,423,6,3,7,6,,,,,,,2,0,Completed
27,Estoril ,Estoril Open,10-05-2009,ATP250,Outdoor,Clay,The Final,3,Montanes A.,Blake J.,35,16,857,2470,5,7,7,6,6,0,,,,,2,1,Completed
28,Munich,BMW Open,10-05-2009,ATP250,Outdoor,Clay,The Final,3,Berdych T.,Youzhny M.,28,64,1685,1045,6,4,4,6,7,6,,,,,2,1,Completed
29,Madrid,Mutua Madrileña Madrid Open,17-05-2009,Masters 1000,Outdoor,Clay,The Final,3,Federer R.,Nadal R.,2,1,10170,15360,6,4,6,4,,,,,,,2,0,Completed
30,Kitzbuhel,Austrian Open,23-05-2009,ATP250,Outdoor,Clay,The Final,3,Garcia-Lopez G.,Benneteau J.,74,45,922,1235,3,6,7,6,6,3,,,,,2,1,Completed
38,Bastad,Catella Swedish Open,19-07-2009,ATP250,Outdoor,Clay,The Final,3,Soderling R.,Monaco J.,12,61,2935,915,,,,,,,,,,,2,0,Completed
39,Stuttgart,Mercedes Cup,19-07-2009,ATP250,Outdoor,Clay,The Final,3,Chardy J.,Hanescu V.,43,33,1079,1361,1,6,6,3,6,4,,,,,2,1,Completed
40,Hamburg,International German Open,26-07-2009,ATP500,Outdoor,Clay,The Final,3,Davydenko N.,Mathieu P.H.,12,39,2935,1175,6,4,6,2,,,,,,,2,0,Completed
42,Gstaad,Allianz Suisse Open,02-08-2009,ATP250,Outdoor,Clay,The Final,3,Bellucci T.,Beck A.,119,51,571,979,6,4,7,6,,,,,,,2,0,Completed
44,Umag,Studena Croatia Open,02-08-2009,ATP250,Outdoor,Clay,The Final,3,Davydenko N.,Ferrero J.C.,9,36,3285,1224,6,3,6,0,,,,,,,2,0,Completed
50,Bucharest,Open Romania,27-09-2009,ATP250,Outdoor,Clay,The Final,3,Montanes A.,Monaco J.,53,37,905,1110,7,6,7,6,,,,,,,2,0,Completed
8,Santiago,Movistar Open,08-02-2010,ATP250,Outdoor,Clay,The Final,3,Bellucci T.,Monaco J.,35,29,1121,1250,6,2,0,6,6,4,,,,,2,1,Completed
10,Costa Do Sauipe,Brasil Open,14-02-2010,ATP250,Outdoor,Clay,The Final,3,Ferrero J.C.,Kubot L.,22,56,1555,759,6,1,6,0,,,,,,,2,0,Completed
13,Buenos Aires,Copa Telmex,21-02-2010,ATP250,Outdoor,Clay,The Final,3,Ferrero J.C.,Ferrer D.,22,19,1760,1780,5,7,6,4,6,3,,,,,2,1,Completed
16,Acapulco,Abierto Mexicano,28-02-2010,ATP500,Outdoor,Clay,The Final,3,Ferrer D.,Ferrero J.C.,17,16,1885,1965,6,3,3,6,6,1,,,,,2,1,Completed
21,Casablanca,Grand Prix Hassan II,11-04-2010,ATP250,Outdoor,Clay,The Final,3,Wawrinka S.,Hanescu V.,23,43,1630,920,6,2,6,3,,,,,,,2,0,Completed
22,Houston,U.S. Men's Clay Court Championships,10-04-2010,ATP250,Outdoor,Clay,The Final,3,Chela J.I.,Querrey S.,82,25,609,1610,5,7,6,4,6,3,,,,,2,1,Completed
23,Monte Carlo,Monte Carlo Masters,18-04-2010,Masters 1000,Outdoor,Clay,The Final,3,Nadal R.,Verdasco F.,3,12,6980,2725,6,0,6,1,,,,,,,2,0,Completed
24,Barcelona,Open Banco Sabadell,25-04-2010,ATP500,Outdoor,Clay,The Final,3,Verdasco F.,Soderling R.,9,8,3145,4595,6,3,4,6,6,3,,,,,2,1,Completed
25,Rome,Internazionali BNL d'Italia,02-05-2010,Masters 1000,Outdoor,Clay,The Final,3,Nadal R.,Ferrer D.,3,17,6480,2105,7,5,6,2,,,,,,,2,0,Completed
26,Belgrade,Serbia Open,09-05-2010,ATP250,Outdoor,Clay,The Final,3,Querrey S.,Isner J.,22,21,1610,1663,3,6,7,6,6,4,,,,,2,1,Completed
27,Estoril ,Estoril Open,09-05-2010,ATP250,Outdoor,Clay,The Final,3,Montanes A.,Gil F.,34,133,1325,382,6,2,6,7,7,5,,,,,2,1,Completed
28,Munich,BMW Open,09-05-2010,ATP250,Outdoor,Clay,The Final,3,Youzhny M.,Cilic M.,15,11,2320,2900,6,3,4,6,6,4,,,,,2,1,Completed
29,Madrid,Mutua Madrileña Madrid Open,16-05-2010,Masters 1000,Outdoor,Clay,The Final,3,Nadal R.,Federer R.,3,1,6480,10430,6,4,7,6,,,,,,,2,0,Completed
30,Nice,Open de Nice Côte d’Azur,22-05-2010,ATP250,Outdoor,Clay,The Final,3,Gasquet R.,Verdasco F.,68,9,715,3645,6,3,5,7,7,6,,,,,2,1,Completed
38,Bastad,SkiStar Swedish Open,18-07-2010,ATP250,Outdoor,Clay,The Final,3,Almagro N.,Soderling R.,20,5,1880,4935,7,5,3,6,6,3,,,,,2,1,Completed
39,Stuttgart,Mercedes Cup,18-07-2010,ATP250,Outdoor,Clay,The Final,3,Montanes A.,Monfils G.,30,17,1395,2055,6,2,1,2,,,,,,,1,0,Retired
41,Hamburg,German Open Tennis Championships,25-07-2010,ATP500,Outdoor,Clay,The Final,3,Golubev A.,Melzer J.,82,15,637,2215,6,3,7,5,,,,,,,2,0,Completed
42,Gstaad,Allianz Suisse Open,01-08-2010,ATP250,Outdoor,Clay,The Final,3,Almagro N.,Gasquet R.,18,47,2005,930,7,5,6,1,,,,,,,2,0,Completed
44,Umag,Studena Croatia Open,01-08-2010,ATP250,Outdoor,Clay,The Final,3,Ferrero J.C.,Starace P.,22,64,1710,760,6,4,6,4,,,,,,,2,0,Completed
50,Bucharest,Open Romania,26-09-2010,ATP250,Outdoor,Clay,The Final,3,Chela J.I.,Andujar P.,53,104,901,510,7,5,6,1,,,,,,,2,0,Completed
8,Santiago,Movistar Open,06-02-2011,ATP250,Outdoor,Clay,The Final,3,Robredo T.,Giraldo S.,40,57,1060,846,6,2,2,6,7,6,,,,,2,1,Completed
10,Costa Do Sauipe,Brasil Open,12-02-2011,ATP250,Outdoor,Clay,The Final,3,Almagro N.,Dolgopolov O.,13,32,2160,1273,6,3,7,6,,,,,,,2,0,Completed
13,Buenos Aires,Copa Claro,20-02-2011,ATP250,Outdoor,Clay,The Final,3,Almagro N.,Chela J.I.,13,35,2320,1165,6,3,3,6,6,4,,,,,2,1,Completed
