ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
32,Halle,Gerry Weber Open,14-06-2009,ATP250,Outdoor,Grass,The Final,3,Haas T.,Djokovic N.,41,4,1195,8020,6,3,6,7,6,1,,,,,2,1,Completed
33,Queens Club,AEGON Championships,14-06-2009,ATP250,Outdoor,Grass,The Final,3,Murray A.,Blake J.,3,16,9230,2390,7,5,6,4,,,,,,,2,0,Completed
34,Eastbourne,AEGON International,20-06-2009,ATP250,Outdoor,Grass,The Final,3,Tursunov D.,Dancevic F.,27,126,1690,621,6,3,7,6,,,,,,,2,0,Completed
35,'s-Hertogenbosch,Ordina Open,20-06-2009,ATP250,Outdoor,Grass,The Final,3,Becker B.,Sluiter R.,82,866,846,23,7,5,6,3,,,,,,,2,0,Completed
37,Newport,Hall of Fame Championships,12-07-2009,ATP250,Outdoor,Grass,The Final,3,Querrey S.,Ram R.,39,181,1175,392,6,7,7,5,6,3,,,,,2,1,Completed
32,Halle,Gerry Weber Open,13-06-2010,ATP250,Outdoor,Grass,The Final,3,Hewitt L.,Federer R.,32,2,1350,8390,3,6,7,6,6,4,,,,,2,1,Completed
33,Queens Club,AEGON Championships,13-06-2010,ATP250,Outdoor,Grass,The Final,3,Querrey S.,Fish M.,23,90,1675,591,7,5,,,,,,,,,2,0,Completed
34,Eastbourne,AEGON International,19-06-2010,ATP250,Outdoor,Grass,The Final,3,Llodra M.,Garcia-Lopez G.,46,41,914,1000,7,5,6,2,,,,,,,2,0,Completed
35,'s-Hertogenbosch,Unicef Open,19-06-2010,ATP250,Outdoor,Grass,The Final,3,Stakhovsky S.,Tipsarevic J.,71,51,695,860,6,3,6,0,,,,,,,2,0,Completed
37,Newport,Hall of Fame Championships,11-07-2010,ATP250,Outdoor,Grass,The Final,3,Fish M.,Rochus O.,79,65,651,730,5,7,6,3,6,4,,,,,2,0,Completed
32,Halle,Gerry Weber Open,12-06-2011,ATP250,Outdoor,Grass,The Final,3,Kohlschreiber P.,Petzschner P.,49,71,955,685,7,6,2,0,,,,,,,1,0,Retired
33,Queens Club,AEGON Championships,12-06-2011,ATP250,Outdoor,Grass,The Final,3,Murray A.,Tsonga J.W.,4,19,6625,1480,3,6,7,6,6,4,,,,,2,1,Completed
34,Eastbourne,AEGON International,18-06-2011,ATP250,Outdoor,Grass,The Final,3,Seppi A.,Tipsarevic J.,51,30,935,1305,7,6,3,6,5,3,,,,,1,1,Retired
35,'s-Hertogenbosch,Unicef Open,18-06-2011,ATP250,Outdoor,Grass,The Final,3,Tursunov D.,Dodig I.,70,42,684,1029,6,3,6,2,,,,,,,2,0,Completed
