ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
1,Brisbane,Brisbane International,11-01-2009,ATP250,Outdoor,Hard,The Final,3,Stepanek R.,Verdasco F.,26,15,2260,2830,3,6,6,3,6,4,,,,,2,1,Completed
2,Chennai,Chennai Open,11-01-2009,ATP250,Outdoor,Hard,The Final,3,Cilic M.,Schuettler R.,27,33,2250,1864,6,4,7,6,,,,,,,2,0,Completed
3,Doha,Qatar Exxon Mobil Open,10-01-2009,ATP250,Outdoor,Hard,The Final,3,Murray A.,Roddick A.,4,8,7050,3940,6,4,6,2,,,,,,,2,0,Completed
4,Auckland,Heineken Open,17-01-2009,ATP250,Outdoor,Hard,The Final,3,Del Potro J.M.,Querrey S.,9,36,3890,1740,6,4,6,4,,,,,,,2,0,Completed
5,Sydney,Medibank International,17-01-2009,ATP250,Outdoor,Hard,The Final,3,Nalbandian D.,Nieminen J.,11,40,3450,1600,6,3,6,7,6,2,,,,,2,1,Completed
7,Johannesburg ,SA Tennis Open,08-02-2009,ATP250,Outdoor,Hard,The Final,3,Tsonga J.W.,Chardy J.,14,61,2955,1208,6,4,7,6,,,,,,,2,0,Completed
11,Rotterdam,ABN AMRO World Tennis Tournament,15-02-2009,ATP500,Indoor,Hard,The Final,3,Murray A.,Nadal R.,4,1,7360,14260,6,3,4,6,6,0,,,,,2,1,Completed
12,San Jose,SAP Open,16-02-2009,ATP250,Indoor,Hard,The Final,3,Stepanek R.,Fish M.,21,24,2440,2270,3,6,6,4,6,2,,,,,2,1,Completed
14,Marseille,Open 13,22-02-2009,ATP250,Indoor,Hard,The Final,3,Tsonga J.W.,Llodra M.,12,50,3200,1365,7,5,7,6,,,,,,,2,0,Completed
15,Memphis,Regions Morgan Keegan Championships,22-02-2009,ATP250,Indoor,Hard,The Final,3,Roddick A.,Stepanek R.,6,19,4510,2640,7,5,7,5,,,,,,,2,0,Completed
17,Delray Beach,International Championships,01-03-2009,ATP250,Outdoor,Hard,The Final,3,Fish M.,Korolev E.,20,105,2305,848,7,5,6,3,,,,,,,2,0,Completed
18,Dubai ,Dubai Tennis Championships,28-02-2009,ATP500,Outdoor,Hard,The Final,3,Djokovic N.,Ferrer D.,3,14,9010,2875,7,5,6,3,,,,,,,2,0,Completed
19,Indian Wells,BNP Paribas Open,22-03-2009,Masters 1000,Outdoor,Hard,The Final,3,Nadal R.,Murray A.,1,4,14360,7400,6,1,6,2,,,,,,,2,0,Completed
