ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
6,Melbourne,Australian Open,19-01-2009,Grand Slam,Outdoor,Hard,1st Round,5,Ferrer D.,Gremelmayr D.,12,80,3390,1042,6,1,6,7,6,1,6,7,6,4,3,2,Completed
6,Melbourne,Australian Open,19-01-2009,Grand Slam,Outdoor,Hard,1st Round,5,Berdych T.,Ginepri R.,21,47,2400,1490,6,4,6,4,6,3,,,,,3,0,Completed
6,Melbourne,Australian Open,19-01-2009,Grand Slam,Outdoor,Hard,1st Round,5,Mayer F.,Ouahab L.,450,193,127,430,6,2,6,1,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,19-01-2009,Grand Slam,Outdoor,Hard,1st Round,5,Hrbaty D.,Isner J.,251,139,302,645,7,6,2,6,6,2,7,5,,,3,1,Completed
6,Melbourne,Australian Open,19-01-2009,Grand Slam,Outdoor,Hard,1st Round,5,Soderling R.,Kendrick R.,17,96,2650,956,5,7,6,4,6,4,7,5,,,3,1,Completed
6,Melbourne,Australian Open,19-01-2009,Grand Slam,Outdoor,Hard,1st Round,5,Dabul B.,Petzschner P.,100,63,940,1232,6,1,6,2,6,4,,,,,3,0,Completed
6,Melbourne,Australian Open,19-01-2009,Grand Slam,Outdoor,Hard,1st Round,5,Roddick A.,Rehnquist B.,9,191,3940,442,6,0,6,2,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,19-01-2009,Grand Slam,Outdoor,Hard,1st Round,5,Malisse X.,Llodra M.,195,56,428,1350,7,6,6,1,6,1,,,,,3,0,Completed
6,Melbourne,Australian Open,19-01-2009,Grand Slam,Outdoor,Hard,1st Round,5,Muller G.,Lopez F.,87,28,988,2010,6,3,7,6,4,6,4,6,7,6,3,2,Completed
6,Melbourne,Australian Open,19-01-2009,Grand Slam,Outdoor,Hard,1st Round,5,Tomic B.,Starace P.,768,73,42,1128,7,6,1,6,7,6,7,6,,,3,1,Completed
6,Melbourne,Australian Open,19-01-2009,Grand Slam,Outdoor,Hard,1st Round,5,Robredo T.,Reynolds B.,22,69,2390,1146,6,2,7,5,6,1,,,,,3,0,Completed
6,Melbourne,Australian Open,19-01-2009,Grand Slam,Outdoor,Hard,1st Round,5,Baghdatis M.,Benneteau J.,97,48,950,1478,6,3,7,6,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,19-01-2009,Grand Slam,Outdoor,Hard,1st Round,5,Wawrinka S.,Minar I.,16,102,2670,930,6,1,2,6,7,5,7,6,,,3,1,Completed
6,Melbourne,Australian Open,19-01-2009,Grand Slam,Outdoor,Hard,1st Round,5,Del Potro J.M.,Zverev M.,6,81,4060,1040,6,3,6,4,6,2,,,,,3,0,Completed
6,Melbourne,Australian Open,19-01-2009,Grand Slam,Outdoor,Hard,1st Round,5,Troicki V.,Martin A.,53,99,1395,940,6,3,3,6,6,2,6,4,,,3,1,Completed
6,Melbourne,Australian Open,19-01-2009,Grand Slam,Outdoor,Hard,1st Round,5,Klein B.,Phau B.,249,110,304,883,6,4,6,3,4,6,6,3,,,3,1,Completed
