ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,,,,,,,,,,
1,Brisbane,Brisbane International,04-01-2009,ATP250,Outdoor,Hard,1st Round,3,Gasquet R.,Gicquel M.,23,50,2320,1428,4,6,6,2,6,2,,,,,2,1,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,04-01-2009,ATP250,Outdoor,Hard,1st Round,3,Dent T.,Darcis S.,865,59,28,1362,7,6,6,2,,,,,,,2,0,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,04-01-2009,ATP250,Outdoor,Hard,1st Round,3,Benneteau J.,Ginepri R.,40,49,1608,1480,3,6,6,3,7,5,,,,,2,1,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,04-01-2009,ATP250,Outdoor,Hard,1st Round,3,Soderling R.,Querrey S.,17,36,2650,1740,6,3,6,3,,,,,,,2,0,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,05-01-2009,ATP250,Outdoor,Hard,1st Round,3,Nieminen J.,Baghdatis M.,41,96,1600,950,5,7,6,1,6,4,,,,,2,1,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,05-01-2009,ATP250,Outdoor,Hard,1st Round,3,Stepanek R.,Kunitsyn I.,26,45,2260,1562,6,2,6,2,,,,,,,2,0,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,05-01-2009,ATP250,Outdoor,Hard,1st Round,3,Melzer J.,Fish M.,32,22,1878,2330,6,4,4,6,7,6,,,,,2,1,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,05-01-2009,ATP250,Outdoor,Hard,1st Round,3,Verdasco F.,Tomic B.,15,764,2830,42,6,4,6,2,,,,,,,2,0,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Berdych T.,Klein B.,20,248,2430,304,6,0,6,4,,,,,,,2,0,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Serra F.,Ferrero J.C.,60,52,1324,1410,6,3,7,6,,,,,,,2,0,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Ancic M.,Delic A.,35,131,1800,716,7,6,6,7,7,6,,,,,2,1,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Gulbis E.,Djokovic N.,53,3,1408,10590,6,4,6,4,,,,,,,2,0,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Mathieu P.H.,Gabashvili T.,31,65,2000,1226,6,3,6,3,,,,,,,2,0,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Nishikori K.,Reynolds B.,61,68,1280,1144,6,3,6,2,,,,,,,2,0,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Llodra M.,Sirianni J.,54,263,1400,282,5,7,7,6,6,2,,,,,2,1,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Tsonga J.W.,Calleri A.,7,62,3950,1250,6,2,7,5,,,,,,,2,0,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,06-01-2009,ATP250,Outdoor,Hard,2nd Round,3,Soderling R.,Benneteau J.,17,40,2650,1608,6,3,6,3,,,,,,,2,0,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,06-01-2009,ATP250,Outdoor,Hard,2nd Round,3,Gasquet R.,Dent T.,23,865,2320,28,7,5,6,4,,,,,,,2,0,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,07-01-2009,ATP250,Outdoor,Hard,2nd Round,3,Mathieu P.H.,Gulbis E.,31,53,2000,1408,6,3,6,4,,,,,,,2,0,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,07-01-2009,ATP250,Outdoor,Hard,2nd Round,3,Serra F.,Melzer J.,60,32,1324,1878,6,4,6,3,,,,,,,2,0,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,07-01-2009,ATP250,Outdoor,Hard,2nd Round,3,Tsonga J.W.,Nieminen J.,7,41,3950,1600,0,6,7,6,7,6,,,,,2,1,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,07-01-2009,ATP250,Outdoor,Hard,2nd Round,3,Verdasco F.,Ancic M.,15,35,2830,1800,6,2,6,3,,,,,,,2,0,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,07-01-2009,ATP250,Outdoor,Hard,2nd Round,3,Stepanek R.,Llodra M.,26,54,2260,1400,7,6,6,3,,,,,,,2,0,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,07-01-2009,ATP250,Outdoor,Hard,2nd Round,3,Nishikori K.,Berdych T.,61,20,1280,2430,7,6,6,3,,,,,,,2,0,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,08-01-2009,ATP250,Outdoor,Hard,Quarterfinals,3,Verdasco F.,Serra F.,15,60,2830,1324,4,6,6,0,6,3,,,,,2,1,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,08-01-2009,ATP250,Outdoor,Hard,Quarterfinals,3,Mathieu P.H.,Nishikori K.,31,61,2000,1280,6,3,6,4,,,,,,,2,0,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,09-01-2009,ATP250,Outdoor,Hard,Quarterfinals,3,Stepanek R.,Soderling R.,26,17,2260,2650,2,6,6,4,6,3,,,,,2,1,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,09-01-2009,ATP250,Outdoor,Hard,Quarterfinals,3,Gasquet R.,Tsonga J.W.,23,7,2320,3950,1,6,6,4,6,2,,,,,2,1,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,10-01-2009,ATP250,Outdoor,Hard,Semifinals,3,Verdasco F.,Mathieu P.H.,15,31,2830,2000,6,2,6,1,,,,,,,2,0,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,10-01-2009,ATP250,Outdoor,Hard,Semifinals,3,Stepanek R.,Gasquet R.,26,23,2260,2320,2,6,6,2,6,4,,,,,2,1,Completed,,,,,,,,,,
1,Brisbane,Brisbane International,11-01-2009,ATP250,Outdoor,Hard,The Final,3,Stepanek R.,Verdasco F.,26,15,2260,2830,3,6,6,3,6,4,,,,,2,1,Completed,,,,,,,,,,
2,Chennai,Chennai Open,05-01-2009,ATP250,Outdoor,Hard,1st Round,3,Greul S.,Gimeno-Traver D.,125,88,778,976,6,3,6,4,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,05-01-2009,ATP250,Outdoor,Hard,1st Round,3,Phau B.,Ventura S.,118,121,850,814,6,2,7,5,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,05-01-2009,ATP250,Outdoor,Hard,1st Round,3,Cilic M.,Martin A.,27,99,2250,940,6,4,6,4,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,05-01-2009,ATP250,Outdoor,Hard,1st Round,3,Sela D.,Ramirez-Hidalgo R.,107,119,906,826,4,6,7,6,6,1,,,,,2,1,Completed,,,,,,,,,,
2,Chennai,Chennai Open,05-01-2009,ATP250,Outdoor,Hard,1st Round,3,Dlouhy L.,Soeda G.,180,112,452,870,3,6,6,2,6,4,,,,,2,1,Completed,,,,,,,,,,
2,Chennai,Chennai Open,05-01-2009,ATP250,Outdoor,Hard,1st Round,3,Schuettler R.,Amritraj P.,33,206,1864,392,6,2,4,6,6,1,,,,,2,1,Completed,,,,,,,,,,
2,Chennai,Chennai Open,05-01-2009,ATP250,Outdoor,Hard,1st Round,3,Granollers M.,Lee H.T.,55,115,1384,864,6,4,7,5,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Beck A.,Karanusic R.,104,89,908,974,6,1,6,0,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Istomin D.,Bopanna R.,109,332,902,208,6,4,7,6,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Davydenko N.,Koellerer D.,5,28,5330,2160,6,2,6,3,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Devvarman S.,Kim K.,202,114,412,866,6,3,6,3,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Karlovic I.,Ram R.,25,204,2280,404,6,4,6,3,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Minar I.,Odesnik W.,97,117,950,862,6,3,6,0,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Moya C.,Udomchoke D.,42,152,1580,566,6,3,7,6,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Tipsarevic J.,Andujar P.,47,98,1500,942,6,3,6,2,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Cipolla F.,Wawrinka S.,138,16,632,2670,6,4,6,1,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,07-01-2009,ATP250,Outdoor,Hard,2nd Round,3,Dlouhy L.,Davydenko N.,180,5,452,5330,,,,,,,,,,,,,Walkover,,,,,,,,,,
2,Chennai,Chennai Open,08-01-2009,ATP250,Outdoor,Hard,2nd Round,3,Karlovic I.,Minar I.,25,97,2280,950,6,1,6,4,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,08-01-2009,ATP250,Outdoor,Hard,2nd Round,3,Devvarman S.,Moya C.,202,42,412,1580,4,6,7,5,6,4,,,,,2,1,Completed,,,,,,,,,,
2,Chennai,Chennai Open,08-01-2009,ATP250,Outdoor,Hard,2nd Round,3,Granollers M.,Beck A.,55,104,1384,908,6,4,6,1,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,08-01-2009,ATP250,Outdoor,Hard,2nd Round,3,Tipsarevic J.,Sela D.,47,107,1500,906,7,6,6,4,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,08-01-2009,ATP250,Outdoor,Hard,2nd Round,3,Phau B.,Cipolla F.,118,138,850,632,6,1,6,2,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,08-01-2009,ATP250,Outdoor,Hard,2nd Round,3,Schuettler R.,Greul S.,33,125,1864,778,6,4,6,2,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,08-01-2009,ATP250,Outdoor,Hard,2nd Round,3,Cilic M.,Istomin D.,27,109,2250,902,6,0,6,4,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,09-01-2009,ATP250,Outdoor,Hard,Quarterfinals,3,Granollers M.,Dlouhy L.,55,180,1384,452,7,5,2,6,6,4,,,,,2,1,Completed,,,,,,,,,,
2,Chennai,Chennai Open,09-01-2009,ATP250,Outdoor,Hard,Quarterfinals,3,Schuettler R.,Phau B.,33,118,1864,850,6,2,7,5,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,09-01-2009,ATP250,Outdoor,Hard,Quarterfinals,3,Cilic M.,Tipsarevic J.,27,47,2250,1500,6,4,0,6,6,4,,,,,2,1,Completed,,,,,,,,,,
2,Chennai,Chennai Open,09-01-2009,ATP250,Outdoor,Hard,Quarterfinals,3,Devvarman S.,Karlovic I.,202,25,412,2280,7,6,6,4,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,10-01-2009,ATP250,Outdoor,Hard,Semifinals,3,Cilic M.,Granollers M.,27,55,2250,1384,6,4,6,3,,,,,,,2,0,Completed,,,,,,,,,,
2,Chennai,Chennai Open,10-01-2009,ATP250,Outdoor,Hard,Semifinals,3,Schuettler R.,Devvarman S.,33,202,1864,412,,,,,,,,,,,,,Walkover,,,,,,,,,,
2,Chennai,Chennai Open,11-01-2009,ATP250,Outdoor,Hard,The Final,3,Cilic M.,Schuettler R.,27,33,2250,1864,6,4,7,6,,,,,,,2,0,Completed,,,,,,,,,,
3,Doha,Qatar Exxon Mobil Open,05-01-2009,ATP250,Outdoor,Hard,1st Round,3,Monfils G.,Hernych J.,13,79,2950,1068,6,2,6,2,,,,,,,2,0,Completed,,,,,,,,,,
3,Doha,Qatar Exxon Mobil Open,05-01-2009,ATP250,Outdoor,Hard,1st Round,3,Stakhovsky S.,Rochus C.,91,75,966,1096,2,6,6,3,7,6,,,,,2,1,Completed,,,,,,,,,,
3,Doha,Qatar Exxon Mobil Open,05-01-2009,ATP250,Outdoor,Hard,1st Round,3,Roddick A.,Navarro-Pastor I.,8,73,3940,1108,6,1,6,3,,,,,,,2,0,Completed,,,,,,,,,,
3,Doha,Qatar Exxon Mobil Open,05-01-2009,ATP250,Outdoor,Hard,1st Round,3,Devilder N.,Hajji A.,72,N/A,1122,N/A,6,0,6,3,,,,,,,2,0,Completed,,,,,,,,,,
3,Doha,Qatar Exxon Mobil Open,05-01-2009,ATP250,Outdoor,Hard,1st Round,3,Hanescu V.,Troicki V.,48,56,1486,1380,6,4,6,2,,,,,,,2,0,Completed,,,,,,,,,,
3,Doha,Qatar Exxon Mobil Open,05-01-2009,ATP250,Outdoor,Hard,1st Round,3,Seppi A.,Gremelmayr D.,34,83,1820,1036,6,4,6,2,,,,,,,2,0,Completed,,,,,,,,,,
3,Doha,Qatar Exxon Mobil Open,05-01-2009,ATP250,Outdoor,Hard,1st Round,3,Petzschner P.,Chardy J.,66,74,1212,1106,7,6,6,3,,,,,,,2,0,Completed,,,,,,,,,,
3,Doha,Qatar Exxon Mobil Open,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Peya A.,Tursunov D.,148,24,590,2290,2,6,6,3,6,4,,,,,2,1,Completed,,,,,,,,,,
3,Doha,Qatar Exxon Mobil Open,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Clement A.,Junqueira D.,92,77,960,1088,6,1,6,2,,,,,,,2,0,Completed,,,,,,,,,,
3,Doha,Qatar Exxon Mobil Open,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Murray A.,Montanes A.,4,43,7050,1574,6,2,6,4,,,,,,,2,0,Completed,,,,,,,,,,
3,Doha,Qatar Exxon Mobil Open,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Vliegen K.,Hernandez O.,85,67,998,1168,6,1,6,7,7,6,,,,,2,1,Completed,,,,,,,,,,
3,Doha,Qatar Exxon Mobil Open,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Kohlschreiber P.,Chiudinelli M.,28,603,2160,74,6,4,6,3,,,,,,,2,0,Completed,,,,,,,,,,
3,Doha,Qatar Exxon Mobil Open,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Youzhny M.,Andreev I.,39,19,1670,2490,4,6,6,3,6,4,,,,,2,1,Completed,,,,,,,,,,
3,Doha,Qatar Exxon Mobil Open,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Nadal R.,Santoro F.,1,51,13160,1418,6,0,6,1,,,,,,,2,0,Completed,,,,,,,,,,
3,Doha,Qatar Exxon Mobil Open,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Federer R.,Starace P.,2,71,10610,1128,6,2,6,2,,,,,,,2,0,Completed,,,,,,,,,,
3,Doha,Qatar Exxon Mobil Open,06-01-2009,ATP250,Outdoor,Hard,1st Round,3,Beck K.,Przysiezny M.,144,607,606,72,4,6,6,4,7,5,,,,,2,1,Completed,,,,,,,,,,
