ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment
6.0,Melbourne,Australian Open,19-01-2009,Grand Slam,Outdoor,Hard,1st Round,5.0,Ferrer D.,Gremelmayr D.,12.0,80.0,3390.0,1042.0,6.0,1.0,6.0,7.0,6.0,1.0,6.0,7.0,6.0,4.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,19-01-2009,Grand Slam,Outdoor,Hard,1st Round,5.0,Muller G.,Lopez F.,87.0,28.0,988.0,2010.0,6.0,3.0,7.0,6.0,4.0,6.0,4.0,6.0,7.0,6.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,19-01-2009,Grand Slam,Outdoor,Hard,1st Round,5.0,Delic A.,Dent T.,127.0,728.0,728.0,48.0,6.0,4.0,3.0,6.0,4.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,19-01-2009,Grand Slam,Outdoor,Hard,1st Round,5.0,Tipsarevic J.,Hernandez O.,46.0,67.0,1500.0,1168.0,4.0,6.0,6.0,1.0,6.0,3.0,4.0,6.0,6.0,0.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,20-01-2009,Grand Slam,Outdoor,Hard,1st Round,5.0,Hanescu V.,Hernych J.,44.0,78.0,1531.0,1068.0,3.0,6.0,3.0,6.0,7.0,6.0,7.0,6.0,7.0,6.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,20-01-2009,Grand Slam,Outdoor,Hard,1st Round,5.0,Almagro N.,Massu N.,18.0,84.0,2540.0,1010.0,6.0,4.0,6.0,4.0,3.0,6.0,5.0,7.0,6.0,3.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,20-01-2009,Grand Slam,Outdoor,Hard,1st Round,5.0,Gonzalez F.,Hewitt L.,14.0,70.0,2840.0,1145.0,5.0,7.0,6.0,2.0,6.0,2.0,3.0,6.0,6.0,3.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,20-01-2009,Grand Slam,Outdoor,Hard,1st Round,5.0,Andreev I.,Polansky P.,19.0,210.0,2490.0,380.0,5.0,7.0,3.0,6.0,6.0,4.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,20-01-2009,Grand Slam,Outdoor,Hard,1st Round,5.0,De Chaunac S.,Darcis S.,253.0,57.0,300.0,1340.0,2.0,6.0,6.0,3.0,0.0,6.0,6.0,2.0,6.0,2.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,20-01-2009,Grand Slam,Outdoor,Hard,1st Round,5.0,Ljubicic I.,Kunitsyn I.,55.0,43.0,1376.0,1562.0,4.0,6.0,7.0,6.0,7.0,6.0,5.0,7.0,6.0,3.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,20-01-2009,Grand Slam,Outdoor,Hard,1st Round,5.0,Canas G.,Kindlmann D.,77.0,229.0,1086.0,337.0,3.0,6.0,7.0,5.0,5.0,7.0,6.0,0.0,7.0,5.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,20-01-2009,Grand Slam,Outdoor,Hard,1st Round,5.0,Clement A.,Stakhovsky S.,89.0,83.0,980.0,1011.0,6.0,3.0,2.0,6.0,4.0,6.0,6.0,2.0,6.0,1.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,20-01-2009,Grand Slam,Outdoor,Hard,1st Round,5.0,Karanusic R.,Serra F.,92.0,58.0,974.0,1339.0,6.0,3.0,1.0,6.0,6.0,3.0,3.0,6.0,6.0,3.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,21-01-2009,Grand Slam,Outdoor,Hard,2nd Round,5.0,Delic A.,Mathieu P.H.,127.0,29.0,728.0,2000.0,1.0,6.0,3.0,6.0,6.0,3.0,7.0,6.0,7.0,6.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,21-01-2009,Grand Slam,Outdoor,Hard,2nd Round,5.0,Lu Y.H.,Nalbandian D.,61.0,11.0,1244.0,3500.0,6.0,4.0,5.0,7.0,4.0,6.0,6.0,4.0,6.0,2.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,21-01-2009,Grand Slam,Outdoor,Hard,2nd Round,5.0,Santoro F.,Kohlschreiber P.,60.0,34.0,1268.0,1855.0,5.0,7.0,7.0,5.0,3.0,6.0,7.0,5.0,6.0,3.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,22-01-2009,Grand Slam,Outdoor,Hard,2nd Round,5.0,Ancic M.,Karlovic I.,36.0,26.0,1805.0,2295.0,5.0,7.0,7.0,5.0,4.0,6.0,6.0,4.0,6.0,3.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,22-01-2009,Grand Slam,Outdoor,Hard,2nd Round,5.0,Andreev I.,Gulbis E.,19.0,52.0,2490.0,1438.0,6.0,4.0,6.0,4.0,5.0,7.0,3.0,6.0,6.0,4.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,24-01-2009,Grand Slam,Outdoor,Hard,3rd Round,5.0,Gonzalez F.,Gasquet R.,14.0,25.0,2840.0,2330.0,3.0,6.0,3.0,6.0,7.0,6.0,6.0,2.0,7.0,6.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,25-01-2009,Grand Slam,Outdoor,Hard,4th Round,5.0,Federer R.,Berdych T.,2.0,21.0,10700.0,2400.0,4.0,6.0,6.0,7.0,6.0,4.0,6.0,4.0,6.0,2.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,26-01-2009,Grand Slam,Outdoor,Hard,4th Round,5.0,Verdasco F.,Murray A.,15.0,4.0,2830.0,7190.0,2.0,6.0,6.0,1.0,1.0,6.0,6.0,3.0,6.0,4.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,30-01-2009,Grand Slam,Outdoor,Hard,Semifinals,5.0,Nadal R.,Verdasco F.,1.0,15.0,13160.0,2830.0,6.0,7.0,6.0,4.0,7.0,6.0,6.0,7.0,6.0,4.0,3.0,2.0,Completed
6.0,Melbourne,Australian Open,01-02-2009,Grand Slam,Outdoor,Hard,The Final,5.0,Nadal R.,Federer R.,1.0,2.0,13160.0,10700.0,7.0,5.0,3.0,6.0,7.0,6.0,3.0,6.0,6.0,2.0,3.0,2.0,Completed
31.0,Paris,French Open,24-05-2009,Grand Slam,Outdoor,Clay,1st Round,5.0,Hewitt L.,Karlovic I.,48.0,28.0,1190.0,1665.0,6.0,7.0,6.0,7.0,7.0,6.0,6.0,4.0,6.0,3.0,3.0,2.0,Completed
31.0,Paris,French Open,24-05-2009,Grand Slam,Outdoor,Clay,1st Round,5.0,Ouanna J.,Granollers M.,134.0,96.0,567.0,805.0,7.0,5.0,2.0,6.0,3.0,6.0,7.0,6.0,6.0,1.0,3.0,2.0,Completed
